x_id,delta_min,delta_max
0x7f9a0ff5f830,0.05786973983049393,0.05796908214688301
0x7f9a0ff5f010,0.05786973983049393,0.05796908214688301
0x7f9a0ff5f8d0,0.24516096711158752,0.24531391263008118
0x7f9a0ff5fab0,0.057867731899023056,0.057968880981206894
0x7f9a0ff5f790,0.057867731899023056,0.057968880981206894
0x7f9a0ff5fd30,0.05786702781915665,0.057968780398368835
0x7f9a0ff5fc40,0.2451595664024353,0.2453143447637558
0x7f9a202befc0,0.24515758454799652,0.2453150749206543
0x7f9a0fcd7d80,0.05786500871181488,0.057968564331531525
0x7f9a0ff5fc90,0.05786318704485893,0.05796854943037033
0x7f9a0ff64270,0.0578608363866806,0.057968609035015106
0x7f9a0fd67880,0.24515298008918762,0.2453177124261856
0x7f9a0ff64180,0.24515298008918762,0.2453177124261856
0x7f9a0ff642c0,0.05786016955971718,0.05796854570508003
0x7f9a0ff67d80,0.05785949155688286,0.057968463748693466
0x7f9a0ff66930,0.2451523244380951,0.2453179657459259
0x7f9a0ff679c0,0.05785881355404854,0.0579683892428875
0x7f9a0ff644f0,0.05785881355404854,0.0579683892428875
0x7f9a0fbe7240,0.24515098333358765,0.2453184425830841
0x7f9a0ff643b0,0.05785813182592392,0.05796831101179123
0x7f9a0ff66ac0,0.05785747617483139,0.05796825885772705
0x7f9a0ff67bf0,0.2451503872871399,0.24531874060630798
0x7f9a0ff64590,0.05785747617483139,0.05796825885772705
0x7f9a0ff64720,0.05785680562257767,0.05796818807721138
0x7f9a0ff64770,0.05785613879561424,0.057968124747276306
0x7f9a0ff66d40,0.057854801416397095,0.05796799063682556
0x7f9a0ff67ba0,0.2451479136943817,0.2453198879957199
0x7f9a0ff641d0,0.057854801416397095,0.05796799063682556
0x7f9a0ff649f0,0.057854149490594864,0.05796793848276138
0x7f9a0ff67380,0.05785350501537323,0.0579678975045681
0x7f9a0ff5eed0,0.2451467663049698,0.24532055854797363
0x7f9a0ff645e0,0.05785350501537323,0.0579678975045681
0x7f9a0ff64860,0.0578528568148613,0.05796785280108452
0x7f9a0f92f790,0.057852186262607574,0.057967785745859146
0x7f9a0ff5f880,0.057852186262607574,0.057967785745859146
0x7f9a0ff64900,0.05785152316093445,0.05796772241592407
0x7f9a0ff64630,0.05785152316093445,0.05796772241592407
0x7f9a0ff66c00,0.2451445758342743,0.24532198905944824
0x7f9a0ff64b80,0.05785084143280983,0.057967640459537506
0x7f9a0ff669d0,0.05785013362765312,0.05796753615140915
0x7f9a0ff67fb0,0.05785013362765312,0.05796753615140915
0x7f9a0ff64090,0.05784939229488373,0.057967398315668106
0x7f9a0ff64b30,0.05784868076443672,0.05796729028224945
0x7f9a0ff5c220,0.24514228105545044,0.2453233152627945
0x7f9a0ff64bd0,0.05784798413515091,0.05796719342470169
0x7f9a0ff67880,0.0578472800552845,0.057967089116573334
0x7f9a0ff67240,0.24514172971248627,0.24532367289066315
0x7f9a0ff64810,0.0578472800552845,0.057967089116573334
0x7f9a0ff447c0,0.24514123797416687,0.24532407522201538
0x7f9a0ff64e00,0.057846564799547195,0.05796697735786438
0x7f9a0ff64db0,0.0578446164727211,0.05796683579683304
0x7f9a0ff64c20,0.24513930082321167,0.24532577395439148
0x7f9a0ff64cc0,0.24513883888721466,0.2453262060880661
0x7f9a0ff67290,0.057842839509248734,0.057966865599155426
0x7f9a0ff648b0,0.05784168466925621,0.057966914027929306
0x7f9a0ff64fe0,0.24513691663742065,0.2453279197216034
0x7f9a0ff650d0,0.24513444304466248,0.24532996118068695
0x7f9a0ff5d120,0.05783797800540924,0.057966820895671844
0x7f9a0ff66fc0,0.057837385684251785,0.05796683207154274
0x7f9a0ff64ef0,0.05783620476722717,0.05796685069799423
0x7f9a0ff64f40,0.05783620476722717,0.05796685069799423
0x7f9a0ff65080,0.24513126909732819,0.24533222615718842
0x7f9a0ff5d1c0,0.2451307773590088,0.24533262848854065
0x7f9a0ff652b0,0.24512991309165955,0.24533358216285706
0x7f9a0ff64360,0.0578322596848011,0.05796712264418602
0x7f9a0ff64a40,0.24512764811515808,0.24533584713935852
0x7f9a0ff65350,0.2451271116733551,0.24533621966838837
0x7f9a0ff651c0,0.05782948061823845,0.05796736478805542
0x7f9a0fc25530,0.24512657523155212,0.2453365921974182
0x7f9a0ff64f90,0.24512657523155212,0.2453365921974182
0x7f9a0ff65530,0.05782580375671387,0.057967331260442734
0x7f9a0ff65800,0.05782521516084671,0.05796734616160393
0x7f9a0ff65940,0.24512344598770142,0.24533888697624207
0x7f9a0ff5d620,0.057824622839689255,0.057967353612184525
0x7f9a0ff659e0,0.24512186646461487,0.24534004926681519
0x7f9a0ff5d990,0.24512186646461487,0.24534004926681519
